time,"Brent crude oil spot price, Monthly (dollars per barrel)",avg,,,,,,,,,,,sno,x1,x2,x3,y
2006 06 ,68.555,62.48442857,,,,,,,,,,,,,,,
2006 07 ,73.674,64.38642857,,,,,,,,,,,,,,,
2006 08 ,73.23,66.78914286,,,,,,,,,,,,,,,
2006 09 ,61.958,68.25271429,,,,,,,,,,,,,,,
2006 10 ,57.808,68.50242857,,,,,,,,,,,,,,,
2006 11 ,58.761,67.89442857,,,,,,,,,,,,,,,
2006 12 ,62.472,66.25171429,,,,,,,,,,,,,,,
2007 01 ,53.681,65.20828571,,,,,,,,,,,,,,,
2007 02 ,57.555,63.08342857,,,,,,,,,,,,,,,
2007 03 ,62.05,60.78071429,,,,,,,,,,,,,,,
2007 04 ,67.485,59.18357143,,,,,,,,,,,,,,,
2007 05 ,67.212,59.97314286,,,,,,,,,,,,,,,
2007 06 ,71.045,61.31657143,,,,,,,,,,,,,,,
2007 07 ,76.93,63.07142857,,,,,,,,,,,,,,,
2007 08 ,70.76,65.13685714,,,,,,,,,,,,,,,
2007 09 ,77.173,67.57671429,,,,,,,,,,,,,,,
2007 10 ,82.34,70.37928571,,,,,,,,,,,,,,,
2007 11 ,92.414,73.27785714,,,,,,,,,,,,,,,
2007 12 ,90.926,76.83914286,,,,,,,,,,,,,,,
2008 01 ,92.178,80.22685714,,,,,,,,,,,,,,,
2008 02 ,94.986,83.24585714,,,,,,,,,,,,,,,
2008 03 ,103.635,85.82528571,,,,,,,,,,,,,,,
2008 04 ,109.071,90.52171429,,,,,,,,,,,,,,,
2008 05 ,122.797,95.07857143,,,,,,,,,,,,,,,
2008 06 ,132.322,100.8581429,,,,,,,,,,,,,,,
2008 07 ,132.718,106.5592857,,,,,,,,,,,,,,,
2008 08 ,113.243,112.5295714,,,,,,,,,,,,,,,
2008 09 ,97.234,115.5388571,,,,,,,,,,,,,,,
2008 10 ,71.581,115.86,,,,,,,,,,,,,,,
2008 11 ,52.452,111.2808571,,,,,,,,,,,,,,,
2008 12 ,39.946,103.1924286,,,,,,,,,,,,,,,
2009 01 ,43.439,91.35657143,,,,,,,,,,,,,,,
2009 02 ,43.324,78.659,,,,,,,,,,,,,,,
2009 03 ,46.54,65.88842857,,,,,,,,,,,,,,,
2009 04 ,50.182,56.35942857,,,,,,,,,,,,,,,
2009 05 ,57.303,49.63771429,,,,,,,,,,,,,,,
2009 06 ,68.61,47.598,,,,,,,,,,,,,,,
